index	family	c	k	pattern	selector	H	exterior	pairs	rows
285	C77	12	2	BO	13530	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
286	C77	12	2	OO	13531	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
287	C77	12	3	BB	13532	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
288	C77	12	3	BO	13533	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
289	C77	12	3	OO	13534	2,3,4,15,16,17,18,19,20,21,22,23	29	406	1218
290	C77	12	4	BB	13535	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
291	C77	12	4	BO	13536	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
292	C77	12	4	OO	13537	2,3,4,5,15,16,17,18,19,20,21,22	29	406	1218
293	C77	12	5	BB	13538	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
294	C77	12	5	BO	13539	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
295	C77	12	5	OO	13540	2,3,4,5,6,15,16,17,18,19,20,21	29	406	1218
296	C77	12	6	BB	13541	2,3,4,5,6,7,15,16,17,18,19,20	29	406	1218
297	C77	12	6	BO	13542	2,3,4,5,6,7,15,16,17,18,19,20	29	406	1218
298	C77	12	6	OO	13543	2,3,4,5,6,7,15,16,17,18,19,20	29	406	1218
299	C77	13	0	BO	13544	15,16,17,18,19,20,21,22,23,24,25,26,27	28	378	1134
300	C77	13	0	OO	13545	15,16,17,18,19,20,21,22,23,24,25,26,27	28	378	1134
301	C77	13	1	BB	13546	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
302	C77	13	1	BO	13547	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
303	C77	13	1	OO	13548	2,15,16,17,18,19,20,21,22,23,24,25,26	28	378	1134
304	C77	13	2	BB	13549	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
305	C77	13	2	BO	13550	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
306	C77	13	2	OO	13551	2,3,15,16,17,18,19,20,21,22,23,24,25	28	378	1134
307	C77	13	3	BB	13552	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
308	C77	13	3	BO	13553	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
309	C77	13	3	OO	13554	2,3,4,15,16,17,18,19,20,21,22,23,24	28	378	1134
310	C77	13	4	BB	13555	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
311	C77	13	4	BO	13556	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
312	C77	13	4	OO	13557	2,3,4,5,15,16,17,18,19,20,21,22,23	28	378	1134
313	C77	13	5	BB	13558	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
314	C77	13	5	BO	13559	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
315	C77	13	5	OO	13560	2,3,4,5,6,15,16,17,18,19,20,21,22	28	378	1134
316	C77	13	6	BB	13561	2,3,4,5,6,7,15,16,17,18,19,20,21	28	378	1134
317	C77	13	6	BO	13562	2,3,4,5,6,7,15,16,17,18,19,20,21	28	378	1134
