q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	7	3	0dbfff	0fbfff	cceecebb1341630665667	ccec1ec41e41b67663667
37	7	4	0dbfff	0fbfff	cceecebb1341630665667	ccccb1941e31b67663667
37	7	5	0dbfff	0fbfff	cccc1ce3e33e665665667	ccccc9c91e16e67166367
37	8	0	0ddbbf	1fffff	ccce9e71ee7b17b145365	cccc1e941e31e63663666
37	8	1	0ddbbf	1fffff	cccc9e7e3e731766e5615	ccce9ceb4163163166366
37	8	2	0ddbbf	1fffff	cccc9e7e3e731766e5615	ccccccc11c66e66e66166
37	8	3	0ddbbf	1fffff	c9ebee71e47b373315615	ccccc1ce14b3366666666
37	8	4	0ddbbf	1fffff	c9ebee71e47b373315615	ccccc4ce41b3366666666
37	8	5	0ddbbf	1fffff	cceec37931233766956e5	ccccccc91c16e66366666
37	9	0	0ddbf7	1fffff	ccc79ee1ee7b17b145365	cccc1e941e31e63663666
37	9	1	0ddbf7	1fffff	ccc79ece3e731766e5615	ccce9ceb4163163166366
37	9	2	0ddbf7	1fffff	ccc79ece3e731766e5615	ccccccc11c66e66e66166
37	9	3	0ddbf7	1fffff	c9e7eeb1e47b373315615	ccccc1ce14b3366666666
37	9	4	0ddbf7	1fffff	c9e7eeb1e47b373315615	ccccc4ce41b3366666666
37	9	5	0ddbf7	1fffff	cce7c3e931233766956e5	ccccccc91c16e66366666
37	10	0	0dfeff	0dffff	cccccebe54eb316615667	cc9c1ee11e31b61367667
37	10	1	0dfeff	0dffff	ccecc19c5ee3633665667	cccce1cb1e36166167667
37	10	2	0dfeff	0dffff	ccecc19c5ee3633665667	ccccc9ee1eb1166167167
37	10	3	0dfeff	0dffff	cceecebb0341631665667	ccec1ec41e41b63667667
37	10	4	0dfeff	0dffff	cceecebb0341631665667	ccccb1941e31b63667667
37	10	5	0dfeff	0dffff	cccc1ce3533e66e665667	ccccc9c91e16e66167367
37	11	0	0eefff	0fefff	cccccce1ee43766b56665	eceec1ec1191743366667
37	11	1	0eefff	0fefff	cccccceee133766656665	c1c911e41e33836e66b67
37	11	2	0eefff	0fefff	cccccee1be63763156665	c1cc1c949e3e76ee61167
37	11	3	0eefff	0fefff	cecce1eb41b3736656635	cbccbce4e131761166667
37	11	4	0eefff	0fefff	cecce1eb41b3736656635	ceccecc1c434766666667
37	11	5	0eefff	0fefff	ccccc1ee3e36766356665	cccccc913916246e66e67
37	12	0	0f7bff	0ffbff	cccccce1ee53b46766665	ceece1ce1971413636667
37	12	1	0f7bff	0ffbff	cccccceee153636766665	1cc1914e13833e66e66b7
37	12	2	0f7bff	0ffbff	cccccee1be53163766665	cccceecee971116166467
37	12	3	0f7bff	0ffbff	cecce1eb41536b6736635	cccce19b4e73136166667
37	12	4	0f7bff	0ffbff	cecce1eb41536b6736635	cccce19e1b73436466667
37	12	5	0f7bff	0ffbff	ccccc1ee3e56336766665	ccccce9e19731e6166467
37	13	0	0f7f7f	0f7fff	cccccce5ee13b46766665	eceec1ec1191343766667
37	13	1	0f7f7f	0f7fff	cccccce5e1e3636766665	c1c911e41e33e36866b67
37	13	2	0f7f7f	0f7fff	cccccee5be13163766665	c1cc1c949e3ee6e761167
37	13	3	0f7f7f	0f7fff	cecce1e541b36b6736635	cbccbce4e131161766667
37	13	4	0f7f7f	0f7fff	cecce1e541b36b6736635	ceccecc1c434666766667
37	13	5	0f7f7f	0f7fff	ccccc1e53ee6336766665	cccccc913916e46266e67
37	14	0	0fbeff	0ff7ff	cccccebe54eb315616667	cc9c1ee11e37b61361667
37	14	1	0fbeff	0ff7ff	ccecc19c5ee3635663667	cccce1cb1e37166166667
37	14	2	0fbeff	0ff7ff	ccecc19c5ee3635663667	ccccc9ee1eb7161166167
37	14	3	0fbeff	0ff7ff	cceecebb0341635661667	ccec1ec41e47b61663667
37	14	4	0fbeff	0ff7ff	cceecebb0341635661667	ccccb1941e37b61663667
37	14	5	0fbeff	0ff7ff	cccc1ce3533e66566e667	ccccc9c91e17e66166367
37	15	0	0fdfbf	0fdfff	cccccc71ee43e56b66665	ceece1ce1911473636667
37	15	1	0fdfbf	0fdfff	cccccc7eee33156666665	1cc1914e13e33866e66b7
