index	family	c	k	pattern	selector	H	exterior	E_columns	C_columns	rows
234	C77	9	6	BO	13479	2,3,4,5,6,7,15,16,17	32	6	3	45
235	C77	9	6	OO	13480	2,3,4,5,6,7,15,16,17	32	6	3	45
236	C77	10	0	BB	13481	15,16,17,18,19,20,21,22,23,24	31	0	10	40
237	C77	10	0	BO	13482	15,16,17,18,19,20,21,22,23,24	31	0	10	40
238	C77	10	0	OO	13483	15,16,17,18,19,20,21,22,23,24	31	0	10	40
239	C77	10	1	BB	13484	2,15,16,17,18,19,20,21,22,23	31	1	9	40
240	C77	10	1	BO	13485	2,15,16,17,18,19,20,21,22,23	31	1	9	40
241	C77	10	1	OO	13486	2,15,16,17,18,19,20,21,22,23	31	1	9	40
242	C77	10	2	BB	13487	2,3,15,16,17,18,19,20,21,22	31	2	8	40
243	C77	10	2	BO	13488	2,3,15,16,17,18,19,20,21,22	31	2	8	40
244	C77	10	2	OO	13489	2,3,15,16,17,18,19,20,21,22	31	2	8	40
245	C77	10	3	BB	13490	2,3,4,15,16,17,18,19,20,21	31	3	7	40
246	C77	10	3	BO	13491	2,3,4,15,16,17,18,19,20,21	31	3	7	40
247	C77	10	3	OO	13492	2,3,4,15,16,17,18,19,20,21	31	3	7	40
248	C77	10	4	BB	13493	2,3,4,5,15,16,17,18,19,20	31	4	6	40
249	C77	10	4	BO	13494	2,3,4,5,15,16,17,18,19,20	31	4	6	40
250	C77	10	4	OO	13495	2,3,4,5,15,16,17,18,19,20	31	4	6	40
251	C77	10	5	BB	13496	2,3,4,5,6,15,16,17,18,19	31	5	5	40
252	C77	10	5	BO	13497	2,3,4,5,6,15,16,17,18,19	31	5	5	40
253	C77	10	5	OO	13498	2,3,4,5,6,15,16,17,18,19	31	5	5	40
254	C77	10	6	BB	13499	2,3,4,5,6,7,15,16,17,18	31	6	4	40
255	C77	10	6	BO	13500	2,3,4,5,6,7,15,16,17,18	31	6	4	40
256	C77	10	6	OO	13501	2,3,4,5,6,7,15,16,17,18	31	6	4	40
257	C77	11	0	BB	13502	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
258	C77	11	0	BO	13503	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
259	C77	11	0	OO	13504	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
260	C77	11	1	BB	13505	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
261	C77	11	1	BO	13506	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
262	C77	11	1	OO	13507	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
263	C77	11	2	BB	13508	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
264	C77	11	2	BO	13509	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
265	C77	11	2	OO	13510	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
266	C77	11	3	BB	13511	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
267	C77	11	3	BO	13512	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
268	C77	11	3	OO	13513	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
269	C77	11	4	BB	13514	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
270	C77	11	4	BO	13515	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
271	C77	11	4	OO	13516	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
272	C77	11	5	BB	13517	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
273	C77	11	5	BO	13518	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
274	C77	11	5	OO	13519	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
275	C77	11	6	BB	13520	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
276	C77	11	6	BO	13521	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
277	C77	11	6	OO	13522	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
