family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
C77	12	3	OO	15	9	EHo:3,EAo:3,EBo:3,EOo:4,CHo:8,CAo:5,CBo:5,COo:7,COa:2	31	8527	9594006984
C77	12	4	BB	15	8	EHo:4,EAo:2,EBo:2,EOo:5,CHo:7,CAo:6,CBo:4,CBa:2,COo:8	31	6591	9732054600
C77	12	4	BO	15	8	EHo:4,EAo:2,EBo:2,EOo:5,CHo:7,CAo:6,CBo:5,CBa:1,COo:7,COa:1	30	9642	9732054600
C77	12	4	OO	15	8	EHo:4,EAo:2,EBo:2,EOo:5,CHo:7,CAo:6,CBo:6,COo:6,COa:2	31	7406	9732054600
C77	12	5	BB	15	7	EHo:5,EAo:1,EBo:1,EOo:6,CHo:6,CAo:7,CBo:5,CBa:2,COo:7	31	3924	9845660160
C77	12	5	BO	15	7	EHo:5,EAo:1,EBo:1,EOo:6,CHo:6,CAo:7,CBo:6,CBa:1,COo:6,COa:1	30	5400	9845660160
C77	12	5	OO	15	7	EHo:5,EAo:1,EBo:1,EOo:6,CHo:6,CAo:7,CBo:7,COo:5,COa:2	31	3924	9845660160
C77	12	6	BB	15	6	EHo:6,EOo:7,CHo:5,CAo:8,CBo:6,CBa:2,COo:6	33	1095	9935399250
C77	12	6	BO	15	6	EHo:6,EOo:7,CHo:5,CAo:8,CBo:7,CBa:1,COo:5,COa:1	32	1430	9935399250
C77	12	6	OO	15	6	EHo:6,EOo:7,CHo:5,CAo:8,CBo:8,COo:4,COa:2	33	987	9935399250
C77	13	0	BO	15	13	EAo:6,EBo:6,EOo:1,CHo:12,CAo:1,CBa:1,COo:12,COa:1	32	104	4251347100
C77	13	0	OO	15	13	EAo:6,EBo:6,EOo:1,CHo:12,CAo:1,CBo:1,COo:11,COa:2	32	156	4251347100
C77	13	1	BB	15	12	EHo:1,EAo:5,EBo:5,EOo:2,CHo:11,CAo:2,CBa:2,COo:12	32	279	4534770240
C77	13	1	BO	15	12	EHo:1,EAo:5,EBo:5,EOo:2,CHo:11,CAo:2,CBo:1,CBa:1,COo:11,COa:1	30	744	4534770240
C77	13	1	OO	15	12	EHo:1,EAo:5,EBo:5,EOo:2,CHo:11,CAo:2,CBo:2,COo:10,COa:2	31	837	4534770240
C77	13	2	BB	15	11	EHo:2,EAo:4,EBo:4,EOo:3,CHo:10,CAo:3,CBo:1,CBa:2,COo:11	31	1104	4698734040
C77	13	2	BO	15	11	EHo:2,EAo:4,EBo:4,EOo:3,CHo:10,CAo:3,CBo:2,CBa:1,COo:10,COa:1	30	2194	4698734040
C77	13	2	OO	15	11	EHo:2,EAo:4,EBo:4,EOo:3,CHo:10,CAo:3,CBo:3,COo:9,COa:2	31	2136	4698734040
C77	13	3	BB	15	10	EHo:3,EAo:3,EBo:3,EOo:4,CHo:9,CAo:4,CBo:2,CBa:2,COo:10	31	2197	4807110672
C77	13	3	BO	15	10	EHo:3,EAo:3,EBo:3,EOo:4,CHo:9,CAo:4,CBo:3,CBa:1,COo:9,COa:1	30	3791	4807110672
C77	13	3	OO	15	10	EHo:3,EAo:3,EBo:3,EOo:4,CHo:9,CAo:4,CBo:4,COo:8,COa:2	31	3348	4807110672
C77	13	4	BB	15	9	EHo:4,EAo:2,EBo:2,EOo:5,CHo:8,CAo:5,CBo:3,CBa:2,COo:9	31	2633	4886798784
C77	13	4	BO	15	9	EHo:4,EAo:2,EBo:2,EOo:5,CHo:8,CAo:5,CBo:4,CBa:1,COo:8,COa:1	30	4135	4886798784
C77	13	4	OO	15	9	EHo:4,EAo:2,EBo:2,EOo:5,CHo:8,CAo:5,CBo:5,COo:7,COa:2	31	3378	4886798784
C77	13	5	BB	15	8	EHo:5,EAo:1,EBo:1,EOo:6,CHo:7,CAo:6,CBo:4,CBa:2,COo:8	31	1780	4948876800
C77	13	5	BO	15	8	EHo:5,EAo:1,EBo:1,EOo:6,CHo:7,CAo:6,CBo:5,CBa:1,COo:7,COa:1	30	2604	4948876800
C77	13	5	OO	15	8	EHo:5,EAo:1,EBo:1,EOo:6,CHo:7,CAo:6,CBo:6,COo:6,COa:2	31	2000	4948876800
C77	13	6	BB	15	7	EHo:6,EOo:7,CHo:6,CAo:7,CBo:5,CBa:2,COo:7	33	545	4995950820
C77	13	6	BO	15	7	EHo:6,EOo:7,CHo:6,CAo:7,CBo:6,CBa:1,COo:6,COa:1	32	750	4995950820
C77	13	6	OO	15	7	EHo:6,EOo:7,CHo:6,CAo:7,CBo:7,COo:5,COa:2	33	545	4995950820
C77partition	9	0	HO	16	8	EAo:6,EBo:6,EOo:1,CHo:7,CHa:1,CAo:5,CBo:5,COo:8,COa:1	31	3333	12387635260
C77partition	9	0	AB	15	9	EAo:6,EBo:6,EOo:1,CHo:8,CAo:4,CAa:1,CBo:4,CBa:1,COo:9	31	2800	12661829180
C77partition	9	1	HO	16	7	EHo:1,EAo:5,EBo:5,EOo:2,CHo:6,CHa:1,CAo:6,CBo:6,COo:7,COa:1	30	8690	12338431820
C77partition	9	1	AB	15	8	EHo:1,EAo:5,EBo:5,EOo:2,CHo:7,CAo:5,CAa:1,CBo:5,CBa:1,COo:8	30	8144	12561048500
C77partition	9	2	HO	16	6	EHo:2,EAo:4,EBo:4,EOo:3,CHo:5,CHa:1,CAo:7,CBo:7,COo:6,COa:1	30	12562	12365029040
C77partition	9	2	AB	15	7	EHo:2,EAo:4,EBo:4,EOo:3,CHo:6,CAo:6,CAa:1,CBo:6,CBa:1,COo:7	30	13170	12557095200
C77partition	9	3	HO	16	5	EHo:3,EAo:3,EBo:3,EOo:4,CHo:4,CHa:1,CAo:8,CBo:8,COo:5,COa:1	30	12076	12453534352
C77partition	9	3	AB	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:7,CAa:1,CBo:7,CBa:1,COo:6	30	13970	12623398060
