q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	6	3	0bd7ef	1fffff	66b42394333d1fb619d6f	b6644e49b196e1331e33c
37	6	4	0bd7ef	1fffff	66b42394333d1fb619d6f	b6644e49b496e1331e33c
37	6	5	0bd7ef	1fffff	16b32be13b6d1063e9860	3c34e94e6e9bc11e166c4
37	7	0	0dbfff	0fbfff	be9636ec41b3348912e90	e41e3e13ce19b6f461167
37	7	1	0dbfff	0fbfff	3c6e4e3c96e696d3c0462	66cc16333be94c2e11b65
37	7	2	0dbfff	0fbfff	6cce63644c3c16a1bde62	b1e911cc36ec4e2b11b65
37	7	3	0dbfff	0fbfff	e1ee43913994cb2367367	96c46113e4b361a63ceb0
37	7	4	0dbfff	0fbfff	e6cb146e13364e7465cef	43163e1169b3be794e438
37	7	5	0dbfff	0fbfff	16be63c13b461b261fe4d	41c9c1e3e394be2b11b65
37	8	0	0ddbbf	1fffff	9bc4332b91761fb39de15	336169c3c3611c6b19ee6
37	8	1	0ddbbf	1fffff	96c333819b716f13ede65	3c13633669b1ec49361e9
37	8	2	0ddbbf	1fffff	313eeb21b3d995b347e15	193396c63e9cc9ee14631
37	8	3	0ddbbf	1fffff	643b1b21e3d96ab317b10	196366133eccc96e4463b
37	8	4	0ddbbf	1fffff	1e96b6f49b7612334d31f	3b31631bceb1169436b49
37	8	5	0ddbbf	1fffff	9336e17c6c5e67ce351e7	3e6c14b39169b1e911bc3
37	9	0	0ddbf7	1fffff	64b7c1bc14d315b9e2e6f	bb19be111b11633b116e3
37	9	1	0ddbf7	1fffff	3132339b640e1db69a39d	6bbbeec34bb1111161631
37	9	2	0ddbf7	1fffff	c3354c61ce7b181eea662	e13319e36b4491cb191ee
37	9	3	0ddbf7	1fffff	3132339b640e12b69a398	b11bebc3e411e6b364641
37	9	4	0ddbf7	1fffff	c46763c431fb12e69a392	16bbbb1344b1116b1ee43
37	9	5	0ddbf7	1fffff	13179e63b3a16de3b0197	1931ee1c14bbce9933646
37	10	0	0dfeff	0dffff	c13696395b6e3ce94d34f	3ceec64439661163bde12
37	10	1	0dfeff	0dffff	133b43b6deb6e149c51e2	933e1ec641363b41ea942
37	10	2	0dfeff	0dffff	1114943ea66eecb335ce7	696416c313cec1e9bde17
37	10	3	0dfeff	0dffff	6b9319368e3616b3c036d	6c1b64b1c316c6611fbb2
37	10	4	0dfeff	0dffff	136c64b37b36116e189ef	3c9399b1364614e3b5e37
37	10	5	0dfeff	0dffff	13e31e6681ecc346e764a	cb3619694c1c16e3bf16d
37	11	0	0eefff	0fefff	363be9c199e4d331244ba	ec469e34693e23e131935
