CERTIFICATE stable_transitivity_mu8_v1 n=8 classes=96 target=13/20
# CLASS <source-index> tournament=<mask> dual=<edge-indices> primal=<order-index:num/den,...>
CLASS 2309 tournament=266298767 dual=1,2,3,4,5,6,7,8,9,11,14,15,16,17,18,19,20,21,22,24 primal=1266:13/340,1354:7/170,2190:1/20,2212:9/340,5040:11/340,5913:7/85,6777:1/20,6876:1/20,7938:1/340,8520:1/20,11825:1/85,12816:3/68,16893:1/85,17850:1/20,18035:1/85,23616:29/340,24946:3/340,25389:7/170,27219:1/20,27249:1/20,30426:1/20,33313:1/170,34566:13/340,36037:1/170,38020:1/20,38053:2/85,39816:13/340
CLASS 2312 tournament=251491727 dual=2,3,4,5,7,8,9,11,13,14,15,16,17,19,20,21,22,23,24,27 primal=2190:1/20,2194:1/20,6930:1/40,6932:1/40,8520:7/40,10232:1/40,12098:1/20,12112:1/40,12184:1/20,12672:1/40,12753:1/20,13684:1/20,17800:1/40,17806:1/40,18576:1/20,19744:1/40,23040:1/40,23524:1/20,23771:1/40,29418:1/20,29850:1/40,30589:1/20,31560:1/40,35434:1/40
CLASS 2313 tournament=251487695 dual=2,3,4,5,8,10,11,12,13,15,16,17,19,20,21,22,23,24,26,27 primal=186:1/20,2074:1/20,2090:1/25,2190:1/25,2194:3/100,4506:1/20,4692:1/50,5913:1/20,6916:1/20,11821:3/50,11825:1/20,18667:1/50,18829:3/100,18916:3/100,23616:7/100,23952:1/20,25361:1/20,27121:1/20,33936:1/20,34562:1/50,34782:1/20,35434:1/50,38313:1/20,38343:1/100,38362:1/100
CLASS 2317 tournament=199193999 dual=1,2,3,4,5,6,7,8,9,11,14,15,16,17,18,19,20,21,22,24 primal=96:1/20,880:1/20,978:1/20,2190:1/20,5913:1/20,6777:1/20,9847:1/20,12765:1/20,12816:1/20,14433:1/20,17806:1/10,23994:1/20,27133:1/20,27219:1/20,28800:1/20,28873:1/20,38016:1/20,38053:1/20,38880:1/20
CLASS 2320 tournament=184382927 dual=2,3,4,5,7,8,9,11,13,14,15,16,17,19,20,21,22,23,24,27 primal=2090:1/85,2162:3/340,2190:11/1020,4692:1/20,5640:1/20,5941:7/170,6858:7/510,6916:1/20,7162:1/340,8113:13/340,12672:47/1020,13684:1/20,13729:4/85,17806:25/204,18317:2/255,18576:3/340,19929:37/1020,23524:11/170,23771:1/20,25361:1/20,25839:1/170,28810:1/255,30244:1/20,35434:11/510,37144:3/85,38343:8/255,38880:7/170,39129:1/20
CLASS 3452 tournament=248442851 dual=0,1,2,3,4,6,10,11,12,14,15,16,19,20,21,23,24,25,26,27 primal=69:1/20,436:7/296,1320:33/740,4200:77/740,6061:1/185,6770:41/370,8449:19/740,8801:1/185,8855:1/20,11120:3/1480,11811:67/740,13414:19/740,14688:39/1480,17028:33/740,18096:13/1480,20169:1/37,23053:1/20,24196:57/1480,25724:33/740,25837:1/1480,29491:17/740,32441:7/296,36465:1/20,36468:39/1480,36574:9/370,36633:1/20,37464:9/370
CLASS 3641 tournament=265155571 dual=0,1,2,3,7,8,9,10,11,14,15,16,17,18,19,20,21,23,24,26 primal=39:1/25,46:1/25,1021:7/240,1089:1/20,1275:11/1200,3456:17/1200,3702:1/20,4201:1/200,4546:1/20,6092:1/100,6191:1/100,6273:7/300,6730:11/240,7845:37/1200,9548:1/20,11811:53/600,13545:1/20,17341:77/400,23524:11/400,24522:1/240,26568:1/1200,28177:1/120,29014:49/1200,29436:1/50,35282:9/400,36224:11/600,37305:1/20,37372:23/1200
CLASS 3666 tournament=267316147 dual=0,1,2,3,5,6,7,8,9,10,12,14,15,16,17,19,20,23,25,27 primal=32:7/670,480:1/10,1024:3/670,2940:16/335,2952:21/1340,6732:13/1340,7452:7/670,8794:9/67,11827:1/20,11984:1/20,12170:13/268,13414:7/268,13545:13/335,15306:1/20,18000:27/1340,20533:1/670,20610:1/20,20686:2/67,22770:53/1340,23645:1/20,24219:1/20,29436:61/1340,29523:2/67,32332:3/1340,33001:9/670,35282:7/670,36288:3/268,36291:1/20
CLASS 3670 tournament=265219059 dual=0,1,2,3,7,8,9,10,12,14,15,16,17,18,19,20,21,23,24,25 primal=498:1/60,1089:1/20,2941:1/20,2952:1/40,3456:1/8,6092:1/20,6102:1/60,6185:1/60,6770:1/24,8880:1/60,11811:13/120,14720:1/20,15274:1/30,16810:1/40,17655:1/120,18379:1/30,20533:1/30,23800:1/20,24913:1/30,32400:1/30,32707:1/40,36468:1/20,36633:7/120,36660:1/20
CLASS 3672 tournament=250543027 dual=0,1,2,3,5,6,8,9,10,14,15,16,19,20,22,23,24,25,26,27 primal=32:1/20,486:1/50,504:1/300,720:8/225,756:11/900,1011:1/180,2959:7/150,3618:1/20,5982:23/900,7452:1/75,7507:1/450,9652:11/300,12170:2/15,17341:1/20,18229:1/20,20331:1/20,23560:2/45,24128:1/75,24219:1/20,26445:41/450,29523:17/450,29616:11/450,31121:1/20,32010:1/20,34562:13/900,36468:11/300,37816:1/300
CLASS 3674 tournament=250412019 dual=0,1,2,3,8,9,10,13,14,15,16,17,19,20,21,22,23,24,25,26 primal=480:3/112,609:99/2240,1020:39/2240,2970:7/320,2971:1/20,3793:1/20,5982:11/280,6078:109/2240,6729:15/448,9273:197/2240,9992:13/560,11811:57/1120,15306:1/20,15752:43/2240,17341:237/2240,18096:3/2240,18673:1/20,24050:19/1120,26365:1/20,26470:47/2240,29258:13/2240,30400:1/20,31218:3/224,36465:37/1120,37153:1/20,38200:13/448,38252:3/280
CLASS 3813 tournament=250574771 dual=0,1,2,3,5,6,9,10,11,13,14,15,19,20,22,23,24,25,26,27 primal=376:3/740,1203:9/185,3079:13/370,5982:7/37,11989:1/740,12753:17/370,14692:7/740,15150:1/20,16128:2/185,17337:29/740,18576:3/740,19802:17/370,20649:31/740,20653:3/74,23076:11/370,24122:31/740,24433:1/20,27165:16/185,29258:1/20,29523:1/20,29561:3/740,29616:1/20,31185:7/740,31283:3/370,32416:3/370,34562:17/370
CLASS 3814 tournament=250570739 dual=0,1,2,3,8,9,10,11,12,13,14,15,19,20,21,22,23,24,25,26 primal=1:1/135,290:11/540,381:4/135,1386:1/20,3456:2/45,4384:4/135,5982:1/108,6024:1/60,6730:1/270,7645:11/540,8102:1/20,13832:1/180,14028:1/20,14778:1/45,17337:119/540,18096:1/45,24136:1/180,25897:1/30,26992:1/540,29523:1/45,30244:11/270,31121:1/20,31283:1/36,31475:13/270,32416:11/540,32496:4/135,36152:37/540,36373:1/20
CLASS 3890 tournament=265680851 dual=0,1,2,3,4,5,8,9,11,14,16,17,18,19,20,21,22,24,25,27 primal=34:1/20,1024:1/20,7266:1/20,7839:1/20,8072:1/20,9561:1/20,12048:1/20,13472:1/20,13545:1/20,16874:1/20,17341:1/20,17778:1/10,23524:1/20,29014:1/20,30330:1/10,35288:1/20,37464:1/20,37482:1/20
CLASS 3918 tournament=265744339 dual=0,1,2,3,4,5,9,11,12,13,14,16,18,19,20,21,22,24,25,27 primal=34:1/20,50:1/60,489:1/60,1176:1/15,2952:1/60,4332:1/20,8072:1/20,8232:1/20,11105:1/20,12708:1/30,15180:1/30,16152:1/20,17778:7/60,18816:1/60,20533:1/60,23590:1/20,23616:1/60,23800:1/60,29152:1/30,29745:1/30,30456:1/30,32056:1/20,32149:1/60,36183:1/30,36291:1/20,36348:1/30
