CERTIFICATE stable_transitivity_residue_profiles_v1 n=8
# CLASS <source-index> tournament=<mask> dilation=<d> stabilizer=<a> deficit=<delta> candidates=<count> profile=<order-index:multiplicity,...>
CLASS 1533 tournament=268235655 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=3600:1,5937:1,7810:1,12550:1,12600:1,14161:1,17731:1,18184:1,18945:1,20493:1,23524:1,26230:1,28800:1,29026:1,35280:1,35433:1,39600:1
CLASS 1536 tournament=266265479 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=5910:1,5949:1,17732:1,24539:1,24565:1,28803:1,30456:1,32256:1
CLASS 1536 tournament=266265479 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=1176:1,5912:1,6803:1,12696:1,19233:1,20313:1,23618:1,24932:1,25684:1,34560:1,39649:1
CLASS 1536 tournament=266265479 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=4:1,904:1,4666:1,6105:1,12690:1,17715:1,18873:1,19024:1,23113:1,26362:1,28656:1,29520:1,34680:1,36306:1
CLASS 1536 tournament=266265479 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=156:1,5912:1,7237:1,11824:1,11848:1,12696:1,14720:1,18480:1,23521:1,23656:1,23800:1,28960:1,29400:1,34584:1,36026:1,38026:1,39600:1
CLASS 1539 tournament=251458439 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=892:1,11073:1,18450:1,18945:1,23836:1,25681:1,37152:1,39728:1
CLASS 1539 tournament=251458439 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=7112:1,10953:1,14916:1,17730:1,18522:1,23091:1,28818:1,30240:1,30433:1,38411:1,38760:1
CLASS 1539 tournament=251458439 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=216:1,892:1,6810:1,11847:1,11963:1,17730:1,23139:1,23616:1,25516:1,29026:1,30244:1,31121:1,35406:1,38826:1
CLASS 1539 tournament=251458439 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=892:1,1996:1,3600:1,5913:1,5949:1,7149:1,12544:1,23049:1,23101:1,23618:1,26272:1,29016:1,30244:1,34560:1,34906:1,37024:1,38217:1
CLASS 1599 tournament=268265415 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=24:1,360:1,6896:1,20494:1,23536:1,30126:1,37071:1,37353:1
CLASS 1599 tournament=268265415 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=154:1,6032:1,10952:1,12729:1,18450:1,26941:1,30840:1,31395:1,35890:1,36432:1,38915:1
CLASS 1599 tournament=268265415 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=720:1,930:1,4322:1,5919:1,6633:1,17661:1,17732:1,22756:1,25834:1,29850:1,30275:1,31476:1,33220:1,36520:1
CLASS 1599 tournament=268265415 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=4320:1,6772:1,6784:1,7922:1,8072:1,11824:1,20136:1,20794:1,23073:1,23104:1,27075:1,27076:1,30273:1,30280:1,34560:1,36153:1,37356:1
CLASS 1606 tournament=249526215 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=1491:1,10950:1,11822:1,25218:1,27112:1,30345:1,34771:1,38760:1
CLASS 1606 tournament=249526215 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=7566:1,8104:1,11433:1,11832:1,18502:1,23768:1,25834:1,30258:1,33844:1,36152:1,38223:1
CLASS 1606 tournament=249526215 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=171:1,1302:1,5136:1,6776:1,7564:1,9792:1,11820:1,12816:1,17032:1,18933:1,24244:1,28805:1,28902:1,37897:1
CLASS 1606 tournament=249526215 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=186:1,4320:1,5913:1,7578:1,8145:1,13698:1,14825:1,17712:1,18952:1,20436:1,20474:1,23530:1,25412:1,27234:1,30258:1,33858:1,36321:1
CLASS 1618 tournament=268265351 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=6:1,720:1,6830:1,19360:1,19748:1,23736:1,27211:1,33937:1
CLASS 1618 tournament=268265351 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=2:1,930:1,5913:1,8290:1,15370:1,17971:1,19365:1,23616:1,27090:1,29400:1,37356:1
CLASS 1618 tournament=268265351 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=6:1,6786:1,8124:1,10953:1,11836:1,17754:1,17874:1,20475:1,23073:1,29400:1,29863:1,34560:1,35316:1,37360:1
CLASS 1618 tournament=268265351 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=154:1,880:1,5913:1,6784:1,8100:1,11850:1,17739:1,18664:1,19360:1,23640:1,27076:1,29400:1,29401:1,31140:1,31331:1,35280:1,35443:1
CLASS 1625 tournament=249526151 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=923:1,6393:1,8592:1,18487:1,23370:1,23777:1,32603:1,35280:1
CLASS 1625 tournament=249526151 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=96:1,5919:1,6064:1,7588:1,17803:1,18578:1,25396:1,27234:1,30277:1,37890:1,38194:1
CLASS 1625 tournament=249526151 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=6768:1,8148:1,9728:1,11433:1,12760:1,17730:1,17762:1,18334:1,23371:1,25220:1,29554:1,30245:1,30336:1,34560:1
CLASS 1625 tournament=249526151 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=168:1,916:1,1344:1,6395:1,6777:1,8148:1,9660:1,11824:1,13864:1,18323:1,23616:1,23773:1,28818:1,29559:1,30277:1,35040:1,37890:1
CLASS 1627 tournament=199190471 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=1320:1,5925:1,12676:1,16128:1,19324:1,28341:1,33141:1,35184:1
CLASS 1627 tournament=199190471 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=5908:1,6776:1,16894:1,23085:1,24488:1,25353:1,28805:1,30463:1,30850:1,31434:1,36153:1
CLASS 1627 tournament=199190471 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=168:1,880:1,2020:1,5912:1,6393:1,14313:1,17701:1,20768:1,25056:1,25426:1,27076:1,30250:1,31434:1,39280:1
CLASS 1627 tournament=199190471 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=4:1,913:1,6105:1,6108:1,6872:1,7560:1,14704:1,17716:1,19196:1,23802:1,23860:1,25410:1,25426:1,27077:1,30849:1,34570:1,36321:1
CLASS 2198 tournament=266271119 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=7:1,2310:1,4345:1,17481:1,23243:1,29016:1,32154:1,38019:1
CLASS 2198 tournament=266271119 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=870:1,2216:1,6107:1,6993:1,13560:1,14704:1,18492:1,24386:1,25576:1,26616:1,34593:1
CLASS 2198 tournament=266271119 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=96:1,2196:1,2266:1,11817:1,11819:1,14888:1,17680:1,18492:1,26496:1,28656:1,32130:1,32280:1,33843:1,36240:1
CLASS 2198 tournament=266271119 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=978:1,1692:1,2196:1,5913:1,5937:1,9706:1,13560:1,16857:1,18192:1,23274:1,23521:1,23616:1,28873:1,32331:1,34593:1,35625:1,38880:1
CLASS 2203 tournament=251460047 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=1730:1,5640:1,5944:1,18436:1,25240:1,30420:1,37126:1,38824:1
CLASS 2203 tournament=251460047 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=10:1,944:1,4488:1,7062:1,17833:1,21393:1,25233:1,26496:1,28912:1,32112:1,37145:1
CLASS 2203 tournament=251460047 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=870:1,4500:1,5941:1,7186:1,7525:1,9240:1,10232:1,21200:1,23520:1,25549:1,28818:1,30096:1,33064:1,35432:1
CLASS 2203 tournament=251460047 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=18:1,909:1,4472:1,7056:1,8736:1,12392:1,12964:1,17680:1,17681:1,19387:1,21032:1,23049:1,23736:1,25876:1,30282:1,32261:1,33858:1
CLASS 2208 tournament=199162319 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=870:1,8647:1,14880:1,18769:1,21551:1,23538:1,25276:1,37769:1
CLASS 2208 tournament=199162319 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=6961:1,8641:1,8866:1,11820:1,13012:1,23527:1,24990:1,25610:1,30840:1,35552:1,38010:1
CLASS 2208 tournament=199162319 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=1012:1,1696:1,2200:1,6400:1,8658:1,12637:1,14728:1,17712:1,17962:1,25573:1,25920:1,30840:1,32154:1,38028:1
