CERTIFICATE stable_transitivity_m6_v1 n=8 classes=96 orders=20 margin=13
# CLASS <source-index> tournament=<mask> profile=<order-index:multiplicity,...>
CLASS 5192 tournament=265219555 profile=2235:1,3786:1,3816:1,6185:1,7996:1,11931:3,14700:1,17659:2,20169:1,20221:1,21420:1,24694:1,28898:1,31113:1,36635:1,36648:1,37470:1
CLASS 5197 tournament=248446435 profile=69:1,1189:1,3603:1,6392:2,8452:1,8508:1,11900:1,17288:1,17643:1,20169:1,20643:1,20644:1,21170:1,25708:1,32701:1,34864:2,37017:1,38392:1
CLASS 5251 tournament=257879523 profile=489:1,4323:2,5960:1,6852:1,11811:1,14602:1,17280:1,17292:1,17659:1,18594:1,20170:1,23139:1,23677:1,25276:1,25725:1,32145:3,34860:1
CLASS 5282 tournament=256769507 profile=4062:1,6272:3,12464:1,13534:1,15264:1,17280:1,17298:1,18107:1,21337:1,21528:1,23137:1,25290:3,29891:1,31595:1,33216:1,34980:1
CLASS 5713 tournament=266271383 profile=870:1,1098:1,1440:1,1512:1,7776:2,11766:1,12712:1,13624:1,14704:1,16152:1,16354:1,18513:1,23616:1,23833:1,26446:1,26490:1,35529:1,35596:1,39634:1
CLASS 5740 tournament=267254423 profile=0:1,60:1,871:1,6273:1,9544:1,12290:1,13497:1,15993:1,18184:3,24369:1,24553:1,30556:2,33184:1,35289:1,35424:1,37381:1,38501:1
CLASS 5747 tournament=250477271 profile=61:1,1536:2,2893:1,2970:1,6270:1,7698:1,9763:1,12674:1,17716:1,18225:3,20331:1,20361:1,23610:1,30400:1,30870:1,35049:1,37023:1
CLASS 6413 tournament=266138613 profile=3702:1,4098:1,6052:1,7824:1,10080:1,10248:1,12272:1,17344:2,17820:1,18512:1,20658:1,23624:1,25810:1,26379:1,31592:1,31755:1,36792:1,37024:1,39752:1
CLASS 6536 tournament=266299349 profile=360:1,4650:1,5904:1,5916:1,6010:1,7252:1,12273:1,12738:2,17725:1,18920:1,19083:1,23538:1,24363:1,27216:2,27338:1,36120:1,36303:1,38045:1
CLASS 6537 tournament=266172373 profile=153:1,154:1,7304:1,8553:3,10232:1,10260:1,12000:1,12067:1,12738:1,17344:1,23353:1,23538:1,27077:1,30346:2,31412:1,36168:1,38072:1
CLASS 6553 tournament=266172309 profile=153:1,306:1,456:1,3380:1,6096:1,7662:1,7812:1,11832:3,14280:1,18328:1,18521:1,18585:1,23616:1,24363:1,26104:1,31584:1,37320:1,37984:1
CLASS 6623 tournament=267347893 profile=0:1,372:1,3930:1,6777:1,7260:1,8090:1,11769:1,14496:3,16305:1,17896:1,18304:1,21633:1,23624:1,24363:1,24579:1,27186:1,31473:1,36171:1
CLASS 6624 tournament=267220917 profile=0:1,372:1,1741:1,1876:1,3378:1,5982:1,6818:1,8103:1,10080:1,12731:1,12818:1,23692:1,28732:1,28989:1,32585:3,35352:1,37098:2
CLASS 6746 tournament=266171349 profile=153:1,2976:3,4357:1,7863:1,10260:1,11835:3,17713:1,18320:1,23353:1,24544:1,25026:1,26101:1,31412:1,31584:1,31596:1,34736:1
CLASS 6763 tournament=266167253 profile=1890:1,4650:1,5916:4,7662:1,7863:1,9633:1,10233:1,17776:1,20610:1,23628:1,23872:1,23874:1,27138:1,27196:1,29856:1,35602:1,36760:1
CLASS 6772 tournament=199062485 profile=1741:1,2983:1,6018:1,6785:1,7878:1,9510:1,9513:1,13681:1,13852:1,17782:3,18312:1,23353:1,26104:1,27073:1,30936:2,36760:1,37089:1
CLASS 6773 tournament=184509397 profile=2112:1,2883:1,5778:1,6408:1,6706:1,10680:1,12171:1,13684:1,17782:3,18587:1,19324:1,23356:3,27226:1,28956:1,30244:1,39036:1
CLASS 6789 tournament=251554773 profile=152:1,2883:1,2953:1,3482:1,5986:1,6923:1,7004:1,10296:1,10304:1,12274:1,17776:2,18203:1,19305:1,23572:3,30840:1,36462:1,39160:1
CLASS 6811 tournament=198998997 profile=165:1,345:1,1816:1,4824:1,5917:1,6785:1,9272:1,10083:1,10176:1,10260:1,17773:1,23252:1,23874:2,26101:1,29113:1,32141:1,37024:1,37965:2
CLASS 6877 tournament=198996949 profile=165:1,600:1,7865:1,9528:1,11768:1,16877:1,17765:1,17773:1,20824:1,23252:1,23628:1,26073:1,26640:1,29077:1,30936:2,31132:1,31698:1,36760:1,38025:1
